ID,Load (%),Peak Power 1 & 2 (W),Mean Power 1 & 2 (W),time,group
26,55,553.66,341,pre_2,cluster
26,65,462.95,330.48,pre_1,cluster
26,65,444.34,334.67,pre_2,cluster
26,75,520.8,356.44,pre_1,cluster
26,75,426.37,296.42,pre_2,cluster
26,85,429,322.25,pre_1,cluster
26,85,384.14,260.97,pre_2,cluster
26,95,362.21,232.35,pre_1,cluster
26,95,362.45,252.37,pre_2,cluster
26,45,602.47,345.05,mid_1,cluster
26,45,539.1,296.6,mid_2,cluster
26,55,619.72,376.86,mid_1,cluster
26,55,548.76,347.85,mid_2,cluster
26,65,481.69,312.59,mid_1,cluster
26,65,607.6,379.87,mid_2,cluster
26,75,559.52,344.75,mid_1,cluster
26,75,493.92,348.16,mid_2,cluster
26,85,456.82,334.71,mid_1,cluster
26,85,405.98,320.96,mid_2,cluster
26,95,354.59,265.18,mid_1,cluster
26,95,366.27,265.09,mid_2,cluster
26,45,704.62,379.18,post_1,cluster
26,45,672.68,362.73,post_2,cluster
